case,freq,mag_db,phase_rad
BlackstarHT5:mid0,250,-3.93266283157,-0.200256578127
BlackstarHT5:mid0,500,-6.06340846741,-0.503938048555
BlackstarHT5:mid0,1000,-11.4207698814,-0.526007857632
BlackstarHT5:mid0,2000,-12.3745141862,0.258050587425
BlackstarHT5:mid0,4000,-8.30035550799,0.342869425702
BlackstarHT5:mid0,8000,-6.7915025416,0.205055879052
BlackstarHT5:mid0,16000,-6.372178624,0.107159205976
BlackstarHT5:mid10,31.5,-7.26221060336,0.529252585524
BlackstarHT5:mid10,63,-5.05659104931,0.369476834079
BlackstarHT5:mid10,125,-3.95948611459,0.139398462956
BlackstarHT5:mid10,250,-4.42041337697,-0.0722012983798
BlackstarHT5:mid10,500,-6.08992424333,-0.112635219693
BlackstarHT5:mid10,1000,-6.80631954801,0.0810955681539
BlackstarHT5:mid10,2000,-5.39473106386,0.222833846621
BlackstarHT5:mid10,4000,-3.96232229402,0.184664188195
BlackstarHT5:mid10,8000,-3.36645490152,0.107248509261
BlackstarHT5:mid10,16000,-3.19207048734,0.0558049532302
BlackstarHT5:treble0,31.5,-7.02070463188,0.49723684169
BlackstarHT5:treble0,63,-4.83690619974,0.3382366182
BlackstarHT5:treble0,125,-3.5787397694,0.0880060419914
BlackstarHT5:treble0,250,-3.60841256703,-0.215941032967
BlackstarHT5:treble0,500,-5.22969706979,-0.541876545057
BlackstarHT5:treble0,1000,-8.66561193217,-0.790211595468
BlackstarHT5:treble0,2000,-12.9915258338,-0.856465175312
BlackstarHT5:treble0,4000,-17.0432310393,-0.745324356162
BlackstarHT5:treble0,8000,-19.8452106152,-0.512927035879
BlackstarHT5:treble0,16000,-21.0837606719,-0.291079356179
BlackstarHT5:treble10,31.5,-7.18797373869,0.50865677343
BlackstarHT5:treble10,63,-4.98829241927,0.355274551231
BlackstarHT5:treble10,125,-3.79281739468,0.115911209142
BlackstarHT5:treble10,250,-4.14708698544,-0.156077080022
BlackstarHT5:treble10,500,-7.00118862791,-0.34435111
BlackstarHT5:treble10,1000,-11.098752493,0.20359993309
BlackstarHT5:treble10,2000,-5.4222484345,0.663229286328
BlackstarHT5:treble10,4000,-1.75166992797,0.467997466002
BlackstarHT5:treble10,8000,-0.488951985979,0.259133526349
BlackstarHT5:treble10,16000,-0.135189421542,0.133202940547
BigMuffHoof:noon,31.5,-11.7974051574,0.310619489133
BigMuffHoof:noon,63,-11.4448758295,0.107750139935
BigMuffHoof:noon,125,-11.4934485331,-0.046983589007
BigMuffHoof:noon,250,-12.0345518492,-0.210580860523
BigMuffHoof:noon,500,-13.7691474215,-0.367817033164
BigMuffHoof:noon,1000,-16.5755871746,-0.301553782539
BigMuffHoof:noon,2000,-17.0704139839,-0.0640016492801
BigMuffHoof:noon,4000,-16.5211087286,0.00340720348688
BigMuffHoof:noon,8000,-16.2934174071,0.00734517308197
BigMuffHoof:noon,16000,-16.2299794911,0.00441768769574
BigMuffHoof:mid0,31.5,-12.702525583,0.301536501435
BigMuffHoof:mid0,63,-12.3196936272,0.0718576043611
BigMuffHoof:mid0,125,-12.3527173662,-0.128672914879
BigMuffHoof:mid0,250,-12.8726578985,-0.384334325872
BigMuffHoof:mid0,500,-14.6988427864,-0.751968573232
BigMuffHoof:mid0,1000,-19.4867991418,-1.16251534616
BigMuffHoof:mid0,2000,-29.2873792321,-1.13070991731
BigMuffHoof:mid0,4000,-30.2577488566,0.00734131669889
BigMuffHoof:mid0,8000,-27.348440625,0.0971917265681
BigMuffHoof:mid0,16000,-26.5950114719,0.0580925521875
BigMuffHoof:mid10,31.5,-11.1251112194,0.31333086239
BigMuffHoof:mid10,63,-10.7831033343,0.127585607561
BigMuffHoof:mid10,125,-10.7916418883,-7.06458706526e-05
BigMuffHoof:mid10,250,-11.1481457829,-0.116206237091
BigMuffHoof:mid10,500,-12.1877667678,-0.210768400773
BigMuffHoof:mid10,1000,-13.6135010482,-0.194854330728
BigMuffHoof:mid10,2000,-14.2845050302,-0.109624331732
BigMuffHoof:mid10,4000,-14.4324188343,-0.0544129413658
BigMuffHoof:mid10,8000,-14.4625949959,-0.0270092239099
BigMuffHoof:mid10,16000,-14.4695369755,-0.0134741071462
BigMuffHoof:treble0,31.5,-6.67974380909,0.307670202925
BigMuffHoof:treble0,63,-6.29750429246,0.0927199823416
BigMuffHoof:treble0,125,-6.28295602975,-0.0831968027291
BigMuffHoof:treble0,250,-6.61156069063,-0.296282972256
BigMuffHoof:treble0,500,-7.82222866038,-0.605060330888
BigMuffHoof:treble0,1000,-10.9240933596,-0.978521270827
BigMuffHoof:treble0,2000,-15.9788256165,-1.26629276579
BigMuffHoof:treble0,4000,-21.8223778439,-1.41795417421
BigMuffHoof:treble0,8000,-27.8141937715,-1.48782452003
BigMuffHoof:treble0,16000,-33.8279222121,-1.51486644118
BigMuffHoof:treble10,31.5,-22.9548358946,0.523177274652
BigMuffHoof:treble10,63,-22.1690621578,0.423771331378
BigMuffHoof:treble10,125,-21.2796786333,0.488258076758
BigMuffHoof:treble10,250,-19.2015177733,0.652381288909
BigMuffHoof:treble10,500,-15.629841558,0.741282918383
BigMuffHoof:treble10,1000,-11.9792268128,0.627747576358
BigMuffHoof:treble10,2000,-9.79282768571,0.402497616647
BigMuffHoof:treble10,4000,-8.97476501791,0.21895153685
BigMuffHoof:treble10,8000,-8.74078019026,0.112062858156
BigMuffHoof:treble10,16000,-8.68007460701,0.0563690263069
BigMuffMusket:noon,31.5,-9.78163266329,0.242859908914
BigMuffMusket:noon,63,-9.34983554574,-0.0464218034218
BigMuffMusket:noon,125,-10.2308783193,-0.35519882938
BigMuffMusket:noon,250,-13.015774409,-0.620051158751
BigMuffMusket:noon,500,-17.3065351907,-0.652962315544
